Classifier,AUPR,PREC,F1,SP,SN,BACC,MCC,ACC,AUC
SVM,0.989 ± 0.012,0.936 ± 0.047,0.941 ± 0.038,0.933 ± 0.050,0.949 ± 0.056,0.941 ± 0.038,0.885 ± 0.076,0.941 ± 0.038,0.986 ± 0.017
RF,0.984 ± 0.016,0.951 ± 0.040,0.934 ± 0.031,0.949 ± 0.042,0.923 ± 0.071,0.936 ± 0.028,0.878 ± 0.055,0.937 ± 0.028,0.979 ± 0.022
KNN,0.938 ± 0.050,0.922 ± 0.060,0.934 ± 0.045,0.916 ± 0.065,0.950 ± 0.055,0.933 ± 0.046,0.869 ± 0.092,0.933 ± 0.046,0.957 ± 0.037
XGB,0.986 ± 0.018,0.954 ± 0.050,0.940 ± 0.030,0.948 ± 0.059,0.932 ± 0.065,0.940 ± 0.029,0.886 ± 0.054,0.941 ± 0.028,0.982 ± 0.024
LBM,0.987 ± 0.015,0.939 ± 0.061,0.933 ± 0.037,0.933 ± 0.073,0.933 ± 0.063,0.933 ± 0.038,0.871 ± 0.072,0.933 ± 0.038,0.983 ± 0.021
ADA,0.985 ± 0.014,0.903 ± 0.076,0.914 ± 0.049,0.891 ± 0.091,0.933 ± 0.073,0.912 ± 0.051,0.832 ± 0.098,0.912 ± 0.050,0.983 ± 0.015
GBC,0.990 ± 0.014,0.953 ± 0.052,0.941 ± 0.039,0.949 ± 0.056,0.933 ± 0.062,0.941 ± 0.038,0.886 ± 0.075,0.941 ± 0.038,0.986 ± 0.021
GPC,0.956 ± 0.034,0.909 ± 0.076,0.918 ± 0.049,0.898 ± 0.091,0.933 ± 0.062,0.916 ± 0.053,0.837 ± 0.103,0.916 ± 0.053,0.946 ± 0.050
QDA,0.824 ± 0.084,0.889 ± 0.084,0.854 ± 0.079,0.889 ± 0.085,0.830 ± 0.113,0.860 ± 0.069,0.729 ± 0.137,0.861 ± 0.069,0.860 ± 0.069
CAT,0.988 ± 0.013,0.945 ± 0.048,0.941 ± 0.020,0.941 ± 0.054,0.941 ± 0.054,0.941 ± 0.020,0.886 ± 0.039,0.941 ± 0.020,0.985 ± 0.018
