iter	Passed	Remaining
0	65	65684
1	134	67008
2	203	67708
3	275	68512
4	344	68602
5	413	68550
6	482	68435
7	550	68310
8	619	68228
9	688	68162
10	758	68179
11	830	68363
12	899	68320
13	971	68400
14	1041	68372
15	1110	68274
16	1178	68129
17	1247	68034
18	1316	67953
19	1384	67860
20	1455	67840
21	1524	67772
22	1593	67693
23	1662	67625
24	1731	67527
25	1800	67447
26	1868	67344
27	1938	67278
28	2008	67234
29	2077	67167
30	2146	67089
31	2215	67019
32	2284	66938
33	2352	66851
34	2421	66762
35	2490	66686
36	2559	66603
37	2629	66575
38	2698	66489
39	2767	66417
40	2836	66344
41	2905	66278
42	2974	66198
43	3043	66118
44	3111	66029
45	3180	65960
46	3250	65900
47	3319	65831
48	3387	65751
49	3456	65682
50	3525	65604
51	3594	65530
52	3663	65451
53	3732	65384
54	3802	65330
55	3871	65266
56	3940	65191
57	4009	65120
58	4078	65041
59	4147	64973
60	4215	64892
61	4285	64827
62	4354	64757
63	4425	64720
64	4493	64642
65	4562	64570
66	4631	64495
67	4700	64424
68	4769	64349
69	4837	64275
70	4906	64200
71	4976	64137
72	5062	64288
73	5131	64218
74	5200	64144
75	5269	64067
76	5338	63990
77	5407	63914
78	5476	63848
79	5545	63771
80	5616	63719
81	5684	63641
82	5753	63567
83	5822	63491
84	5891	63416
85	5960	63343
86	6028	63269
87	6098	63199
88	6167	63126
89	6237	63065
90	6306	62998
91	6375	62921
92	6444	62851
93	6513	62774
94	6582	62703
95	6650	62628
96	6719	62555
97	6789	62489
98	6859	62425
99	6928	62353
100	6997	62281
101	7065	62205
102	7134	62134
103	7203	62059
104	7272	61987
105	7340	61910
106	7411	61855
107	7480	61781
108	7549	61713
109	7618	61641
110	7687	61567
111	7756	61495
112	7824	61421
113	7893	61347
114	7962	61273
115	8032	61211
116	8101	61139
117	8169	61066
118	8238	60994
119	8307	60921
120	8378	60865
121	8448	60802
122	8517	60729
123	8587	60666
124	8658	60606
125	8726	60532
126	8795	60458
127	8865	60393
128	8933	60320
129	9002	60246
130	9070	60172
131	9139	60101
132	9211	60049
133	9280	59979
134	9349	59906
135	9418	59832
136	9487	59763
137	9556	59693
138	9625	59621
139	9693	59547
140	9763	59479
141	9833	59417
142	9902	59347
143	9971	59276
144	10040	59205
145	10109	59132
146	10178	59062
147	10246	58989
148	10316	58919
149	10387	58860
150	10456	58789
151	10525	58718
152	10593	58646
153	10662	58572
154	10731	58505
155	10800	58433
156	10869	58364
157	10938	58294
158	11009	58234
159	11079	58165
160	11147	58092
161	11216	58019
162	11285	57949
163	11354	57878
164	11422	57806
165	11491	57736
166	11561	57667
167	11630	57597
168	11698	57525
169	11767	57452
170	11836	57381
171	11905	57310
172	11973	57239
173	12042	57167
174	12111	57098
175	12183	57038
176	12252	56970
177	12322	56903
178	12392	56837
179	12461	56767
180	12531	56701
181	12600	56631
182	12669	56562
183	12738	56494
184	12809	56432
185	12879	56364
186	12948	56296
187	13018	56227
188	13087	56159
189	13157	56090
190	13226	56022
191	13296	55954
192	13366	55890
193	13435	55820
194	13505	55751
195	13574	55682
196	13643	55613
197	13712	55543
198	13782	55474
199	13851	55404
200	13920	55335
201	13993	55280
202	14062	55211
203	14131	55142
204	14201	55073
205	14270	55004
206	14340	54936
207	14409	54866
208	14478	54796
209	14548	54729
210	14618	54665
211	14686	54590
212	14755	54517
213	14824	54447
214	14892	54376
215	14961	54303
216	15029	54232
217	15098	54160
218	15169	54097
219	15238	54028
220	15307	53955
221	15375	53883
222	15443	53811
223	15512	53740
224	15581	53669
225	15650	53597
226	15719	53527
227	15789	53462
228	15858	53391
229	15926	53320
230	15995	53250
231	16064	53178
232	16132	53105
233	16201	53034
234	16270	52964
235	16339	52896
236	16408	52825
237	16477	52757
238	16547	52689
239	16617	52620
240	16686	52551
241	16755	52480
242	16824	52412
243	16893	52343
244	16965	52280
245	17034	52211
246	17103	52142
247	17173	52073
248	17242	52005
249	17312	51936
250	17381	51868
251	17450	51796
252	17521	51732
253	17591	51666
254	17660	51597
255	17729	51527
256	17799	51459
257	17870	51395
258	17940	51327
259	18009	51258
260	18078	51188
261	18149	51123
262	18219	51056
263	18288	50986
264	18357	50917
265	18427	50847
266	18496	50779
267	18567	50713
268	18636	50645
269	18705	50573
270	18777	50512
271	18846	50443
272	18916	50374
273	18986	50306
274	19055	50236
275	19125	50169
276	19195	50101
277	19265	50035
278	19336	49969
279	19407	49905
280	19477	49836
281	19545	49765
282	19614	49693
283	19682	49622
284	19751	49553
285	19820	49482
286	19889	49411
287	19960	49346
288	20029	49275
289	20097	49204
290	20165	49132
291	20235	49063
292	20304	48993
293	20373	48923
294	20442	48853
295	20510	48782
296	20580	48713
