iter	Logloss
0	0.6920734644
1	0.6910476685
2	0.6900280714
3	0.6891034842
4	0.6881784797
5	0.6873521209
6	0.6864311695
7	0.685372293
8	0.6846455336
9	0.6836335659
10	0.6827194691
11	0.6817629933
12	0.6808516383
13	0.6798025966
14	0.6789896488
15	0.6780818701
16	0.6771798134
17	0.6760001183
18	0.6750535965
19	0.6738784313
20	0.6731675863
21	0.67227
22	0.671558857
23	0.6708512306
24	0.6699590087
25	0.6689767241
26	0.6680873632
27	0.667105794
28	0.6664024591
29	0.6657028198
30	0.6650005579
31	0.6642093658
32	0.6633283496
33	0.6624495983
34	0.6617534161
35	0.661056757
36	0.6602709293
37	0.6589664221
38	0.6581839919
39	0.6574041247
40	0.6566243768
41	0.655164957
42	0.6540752649
43	0.653390646
44	0.6527081728
45	0.6516209841
46	0.6508522034
47	0.6500827074
48	0.6492250562
49	0.6484584212
50	0.647780776
51	0.6469299793
52	0.6457853317
53	0.6448054314
54	0.6441332102
55	0.6432856321
56	0.6425273418
57	0.6416822672
58	0.6409289837
59	0.6402603388
60	0.6395978928
61	0.6387587786
62	0.637789607
63	0.6369529963
64	0.6362940669
65	0.6353305578
66	0.6345843077
67	0.63392663
68	0.6331851482
69	0.6325297952
70	0.631876111
71	0.6311360598
72	0.6303086281
73	0.629443109
74	0.6287075281
75	0.6279731989
76	0.6271535158
77	0.6260531545
78	0.6254079342
79	0.624593854
80	0.6239511967
81	0.6232229471
82	0.6224951744
83	0.6216031313
84	0.620875597
85	0.6201547384
86	0.6193493009
87	0.6185436249
88	0.6178230047
89	0.616896987
90	0.6162628531
91	0.6155480146
92	0.6148321629
93	0.6140351295
94	0.6132372618
95	0.6125281453
96	0.6116117835
97	0.6109875441
98	0.610070765
99	0.6094480157
100	0.6088248491
101	0.6082053185
102	0.6073340774
103	0.6067146063
104	0.6057284474
105	0.6050283909
106	0.6044143438
107	0.6037147045
108	0.6028138399
109	0.6020386219
110	0.601056993
111	0.600040555
112	0.5992687941
113	0.5982542038
114	0.5974048376
115	0.5967968702
116	0.5959531665
117	0.5951070786
118	0.5943422318
119	0.5933409333
120	0.5926589966
121	0.5919825435
122	0.5912243128
123	0.590465188
124	0.5895915031
125	0.5889984369
126	0.5880069733
127	0.5873352289
128	0.5863479376
129	0.5854814053
130	0.5846170187
131	0.583871305
132	0.583283782
133	0.5826197267
134	0.5819548368
135	0.5810976028
136	0.5805135965
137	0.5797774196
138	0.5789608955
139	0.5782253742
140	0.57748878
141	0.5768352747
142	0.5762581825
143	0.5756799579
144	0.5750281811
145	0.5741852522
146	0.5736107826
147	0.5728832483
148	0.5720787644
149	0.5714308023
150	0.5707821846
151	0.5699845552
152	0.5691860914
153	0.5685435534
154	0.5678243637
155	0.5670703053
156	0.5663523078
157	0.5656377077
158	0.5647732019
159	0.5641384125
160	0.5635780692
161	0.5630193949
162	0.5624617338
163	0.5619062185
164	0.5613491535
165	0.5607931614
166	0.5599789619
167	0.559348166
168	0.5585719347
169	0.5580189228
170	0.5574668646
171	0.556658268
172	0.5560346842
173	0.5552262068
174	0.5544945598
175	0.5536881089
176	0.5527704954
177	0.5522288084
178	0.5516854525
179	0.5511431694
180	0.5503802896
181	0.5498418808
182	0.5487986207
183	0.5480046272
184	0.5473954678
185	0.5466010571
186	0.5458093882
187	0.5450211167
188	0.544234395
189	0.543241024
190	0.5427114964
191	0.5418194532
192	0.5411479473
193	0.5405483246
194	0.5395284891
195	0.5387516022
196	0.5381578207
197	0.5375626087
198	0.5366809368
199	0.536160171
200	0.5352822542
201	0.53451401
202	0.5339950323
203	0.5334103107
204	0.5328906178
205	0.532055378
206	0.531470418
207	0.5307086706
208	0.5299863815
209	0.5292258263
210	0.5285770297
211	0.5280660987
212	0.5274167061
213	0.5267686844
214	0.526190877
215	0.5256138444
216	0.5251088738
217	0.5241265297
218	0.5234025717
219	0.5228302479
220	0.5223286748
