iter	Passed	Remaining
0	5	5744
1	11	5503
2	16	5466
3	23	5742
4	28	5657
5	36	6065
6	41	5953
7	47	5854
8	55	6057
9	61	6092
10	67	6031
11	72	5967
12	80	6114
13	85	6044
14	92	6079
15	99	6101
16	105	6115
17	109	5991
18	116	6010
19	120	5905
20	126	5919
21	132	5878
22	139	5939
23	147	5992
24	152	5951
25	157	5915
26	163	5879
27	168	5846
28	175	5889
29	183	5928
30	190	5963
31	197	5967
32	203	5969
33	210	5971
34	216	5973
35	223	5975
36	230	6003
37	235	5950
38	241	5951
39	247	5951
40	255	5975
41	258	5889
42	262	5834
43	269	5860
44	277	5883
45	281	5832
46	287	5832
47	294	5833
48	299	5810
49	305	5810
50	312	5811
51	317	5790
52	321	5746
53	326	5725
54	334	5745
55	339	5726
56	346	5729
57	351	5710
58	356	5692
59	364	5710
60	371	5712
61	377	5713
62	383	5696
63	389	5697
64	396	5699
65	401	5682
66	408	5682
67	415	5699
68	422	5699
69	430	5713
70	437	5725
71	444	5723
72	449	5706
73	454	5690
74	461	5692
75	468	5690
76	474	5688
77	479	5671
78	487	5686
79	494	5685
80	500	5681
81	507	5680
82	514	5679
83	519	5665
84	526	5664
85	534	5676
86	540	5674
87	545	5658
88	552	5656
89	557	5640
90	564	5637
91	569	5624
92	576	5621
93	581	5607
94	588	5604
95	594	5602
96	600	5589
97	608	5601
98	613	5587
99	619	5574
100	627	5581
101	633	5579
102	639	5566
103	645	5563
104	650	5541
105	656	5539
106	664	5547
107	669	5533
108	675	5519
109	681	5516
110	685	5492
111	689	5470
112	695	5457
113	699	5434
114	704	5422
115	712	5429
116	717	5416
117	723	5404
118	728	5392
119	733	5381
120	740	5378
121	745	5368
122	752	5367
123	758	5355
124	763	5344
125	769	5341
126	774	5320
127	780	5317
128	784	5298
129	791	5295
130	797	5292
131	803	5281
132	810	5286
133	816	5275
134	824	5279
135	829	5272
136	836	5269
137	843	5266
138	848	5256
139	855	5252
140	860	5241
141	867	5239
142	875	5244
143	882	5247
144	888	5237
145	893	5227
146	901	5231
147	906	5221
148	912	5210
149	918	5207
150	925	5203
151	931	5199
152	937	5189
153	944	5188
154	950	5184
155	958	5186
156	964	5176
157	969	5167
158	973	5150
159	979	5139
160	985	5135
161	993	5137
162	999	5133
163	1007	5135
164	1013	5130
165	1021	5129
166	1026	5119
167	1032	5114
168	1038	5104
169	1046	5107
170	1052	5103
171	1059	5098
172	1065	5094
173	1071	5085
174	1076	5075
175	1083	5071
176	1087	5056
177	1093	5051
178	1101	5052
179	1108	5048
180	1113	5039
181	1120	5034
182	1124	5019
183	1129	5010
184	1137	5011
185	1143	5002
186	1148	4993
187	1153	4984
188	1160	4980
189	1164	4965
190	1172	4967
191	1176	4952
192	1182	4942
193	1188	4938
194	1192	4923
195	1198	4914
196	1205	4911
197	1212	4912
198	1218	4903
199	1225	4903
200	1229	4889
201	1235	4880
202	1242	4876
203	1248	4872
204	1256	4872
205	1260	4858
206	1267	4854
207	1272	4845
208	1277	4835
209	1283	4827
210	1289	4823
211	1297	4822
212	1304	4818
213	1309	4809
214	1317	4809
215	1323	4805
216	1330	4800
217	1334	4787
218	1338	4774
219	1345	4770
220	1353	4769
221	1360	4768
222	1366	4759
223	1370	4746
224	1375	4738
225	1380	4729
226	1387	4724
227	1392	4716
228	1396	4703
229	1404	4702
230	1411	4697
231	1416	4688
232	1422	4683
233	1429	4678
234	1436	4677
235	1443	4672
236	1448	4663
237	1455	4658
238	1460	4650
239	1468	4649
240	1474	4644
241	1481	4639
242	1485	4626
243	1491	4621
244	1497	4613
245	1504	4611
246	1509	4603
247	1515	4594
248	1520	4586
249	1527	4581
250	1533	4576
251	1537	4564
252	1542	4555
253	1549	4550
254	1554	4542
255	1560	4534
256	1567	4532
257	1574	4527
258	1580	4522
259	1586	4514
