iter	Logloss
0	0.6874393463
1	0.6816776276
2	0.6762272644
3	0.6717208862
4	0.6666661072
5	0.6616745758
6	0.6567245483
7	0.6508310699
8	0.6455415344
9	0.6409546661
10	0.6354795456
11	0.6307006073
12	0.6251183319
13	0.6202973938
14	0.6164956665
15	0.6112034607
16	0.6066994476
17	0.6016590881
18	0.5976063538
19	0.5933778381
20	0.589054718
21	0.5847161102
22	0.5804070282
23	0.5752952957
24	0.5713054657
25	0.5668105316
26	0.5630208969
27	0.5594217682
28	0.5550256348
29	0.5515568924
30	0.5474427795
31	0.5425728226
32	0.5382616043
33	0.5349460602
34	0.530426178
35	0.525977478
36	0.5211949158
37	0.517045784
38	0.5133597183
39	0.5095209503
40	0.5056329346
41	0.5019595337
42	0.4981711197
43	0.4941943359
44	0.4900453949
45	0.4863647461
46	0.4825081635
47	0.4786803818
48	0.4754373169
49	0.4718450165
50	0.4678523254
51	0.4643133545
52	0.4612462616
53	0.4570939636
54	0.4531439972
55	0.4503901291
56	0.4472276306
57	0.4441447449
58	0.440841217
59	0.4381910706
60	0.4351714706
61	0.4317784882
62	0.4287131882
63	0.4257475662
64	0.4228020096
65	0.4197366333
66	0.4165232849
67	0.4138998413
68	0.4113597488
69	0.4087239838
70	0.4060224152
71	0.4028796387
72	0.3999728012
73	0.3968637466
74	0.3944052887
75	0.3911145782
76	0.3881512451
77	0.3860658264
78	0.3830224228
79	0.3801813507
80	0.3776176071
81	0.3749459076
82	0.3726174545
83	0.3699919128
84	0.3673256302
85	0.3643399048
86	0.3619004059
87	0.3594644928
88	0.3571118546
89	0.3548457336
90	0.3521750259
91	0.3501437378
92	0.3474669647
93	0.3452532578
94	0.3427706909
95	0.340315094
96	0.3384509277
97	0.336476593
98	0.3340090561
99	0.331871376
100	0.3297985077
101	0.3271739197
102	0.3250099945
103	0.3228342438
104	0.3204354477
105	0.3180175781
106	0.3161569786
107	0.3139038277
108	0.3117372894
109	0.3098805618
110	0.308081665
111	0.3056990623
112	0.303739872
113	0.3019108009
114	0.3003287697
115	0.2986692429
116	0.2965254593
117	0.2947836304
118	0.2927176476
119	0.2905984116
120	0.2888155174
121	0.2870594025
122	0.2852894211
123	0.2831788445
124	0.2812019539
125	0.2792202377
126	0.2777965546
127	0.275693779
128	0.2739411545
129	0.2717384338
130	0.2697790337
131	0.2679027176
132	0.2665564728
133	0.2648881912
134	0.2632271194
135	0.2613410378
136	0.259585762
137	0.2581181335
138	0.2564977264
139	0.2548616791
140	0.2533930588
141	0.2521167183
142	0.2503406906
143	0.248804245
144	0.2476243401
145	0.245675087
146	0.2441801071
147	0.2424943542
148	0.2410079193
149	0.2395695496
150	0.2381148338
151	0.2367087555
152	0.2354826355
153	0.2341358757
154	0.2328865814
155	0.2314313126
156	0.2302272797
157	0.2287883377
158	0.2272784042
159	0.2259966278
160	0.22473629
161	0.2234562111
162	0.2221017456
163	0.2208925056
164	0.2194309616
165	0.2181940842
166	0.2170052147
167	0.2157372665
168	0.2147021294
169	0.2134893036
170	0.2121619415
171	0.2109441376
172	0.2098335075
173	0.2086618423
174	0.2073779678
175	0.2061450958
176	0.2048836136
177	0.203798542
178	0.2027330971
179	0.2016744995
180	0.2005984306
181	0.1995111465
182	0.1982897568
183	0.1971865273
184	0.1959980392
185	0.1947896194
186	0.1938883209
187	0.192869072
188	0.1919170189
189	0.1906945992
190	0.1896875
191	0.1885733414
192	0.1877235413
193	0.186815567
194	0.1856967545
195	0.1847633362
196	0.1835232925
197	0.1825263596
198	0.1815298271
199	0.1806934166
200	0.1797724724
201	0.1786104965
202	0.1775389481
203	0.1764723969
204	0.1757150841
205	0.1747806358
206	0.1737495422
207	0.1729887772
208	0.171901474
209	0.1710726166
210	0.1703732491
211	0.1694189835
212	0.1683613777
213	0.1675190353
214	0.166646347
215	0.165791111
216	0.1648982811
217	0.1640044403
218	0.1631675148
219	0.1622357178
220	0.1615522385
221	0.160674057
222	0.1599676895
223	0.1590285778
224	0.158195219
225	0.1571119308
226	0.156467123
227	0.1556234169
228	0.1547934437
229	0.1539862442
230	0.1532876682
231	0.1523348618
232	0.151600523
233	0.1505678558
234	0.1498747063
235	0.1490638447
236	0.1483605957
237	0.1475562572
238	0.1469125843
239	0.146138525
240	0.1453985405
241	0.1443953419
242	0.1436719131
243	0.1428931141
244	0.142354784
245	0.1416631603
246	0.1410457039
247	0.1404156876
248	0.1397480392
249	0.1390005302
250	0.1383528328
251	0.1375946903
252	0.1370189285
253	0.1362317753
254	0.1355788994
255	0.1350361347
256	0.1343917656
257	0.1337586403
258	0.1329851151
259	0.1322909164
260	0.1317098808
261	0.131139698
262	0.1306184196
263	0.1299912643
264	0.1295439339
265	0.1287792301
266	0.1281653214
267	0.1274765587
268	0.1269826126
269	0.1264299011
270	0.1257596588
271	0.125124855
272	0.1245964622
273	0.1239845848
274	0.1233008575
275	0.1227697182
276	0.1222113323
277	0.1215088081
278	0.1209092426
279	0.1203936958
280	0.1198463345
281	0.1192427635
282	0.1186314678
283	0.1180887985
284	0.1175029755
285	0.1169246864
286	0.1163541317
287	0.1157874966
288	0.1152586746
289	0.1144217873
290	0.1139990807
291	0.1134873962
292	0.1130580902
293	0.1125998783
294	0.1119919205
295	0.1114866161
296	0.1110737038
297	0.1106340599
298	0.1101943111
299	0.1096064854
300	0.1091666508
301	0.1087419033
302	0.1081926346
303	0.1075967598
304	0.1071096802
305	0.1066058731
306	0.1061459923
307	0.1057522202
308	0.1053061867
309	0.1047797871
310	0.1042814255
311	0.1039189053
312	0.1033455658
313	0.102794199
314	0.1023751736
315	0.1019224739
316	0.101431942
317	0.1009832764
318	0.1005568886
319	0.100138216
320	0.0996950531
321	0.09924352646
322	0.09881097794
323	0.09832674026
324	0.09778338432
325	0.09731554031
326	0.09683773041
327	0.09636117935
328	0.09605369568
329	0.09571022034
330	0.09532207489
331	0.09488295555
332	0.09451043129
333	0.09415127754
334	0.09373099327
335	0.09335709572
336	0.09290973663
337	0.09258226395
338	0.0922557354
339	0.09185024261
340	0.09144235611
341	0.09112801552
342	0.09078643799
343	0.09036283493
344	0.090052948
345	0.08971940994
346	0.08934612274
347	0.08900627136
348	0.08862415314
349	0.08832122803
350	0.08797755241
351	0.08765313148
352	0.0872974205
353	0.08698366165
354	0.08670045853
355	0.0863377285
356	0.08601893425
357	0.08572088242
358	0.08549068451
359	0.08516375542
360	0.08482309341
361	0.08450031281
362	0.08414716721
363	0.08387436867
364	0.08354332924
365	0.08326058388
366	0.08300027847
367	0.08259681702
368	0.08227087021
369	0.08200165749
370	0.0816837883
371	0.08137573242
372	0.08099317551
373	0.08061371803
374	0.0803031826
375	0.07994609833
376	0.0795941782
377	0.07931214333
378	0.07896413803
379	0.07872900486
380	0.07836621284
381	0.07810407639
382	0.0777923584
383	0.07756438732
384	0.07725839138
385	0.07700684071
386	0.07676962852
387	0.07648791313
388	0.07615528107
389	0.07596247673
390	0.07568809509
391	0.07542904854
392	0.07516061306
393	0.07493185997
394	0.0746557951
395	0.07440681458
396	0.07409571648
397	0.07379866123
398	0.07355455399
399	0.07324282169
400	0.07286209106
401	0.07261278152
402	0.07236157417
403	0.07210287094
404	0.07184449673
405	0.07162296295
406	0.07137891769
407	0.07114983082
408	0.07086053371
409	0.07066763401
410	0.07035987854
411	0.07009628296
412	0.06984999657
413	0.06964653492
414	0.06936910629
415	0.06909682274
416	0.06880033493
417	0.06860198975
418	0.06834435463
419	0.06814403057
420	0.0679103756
421	0.06764443398
422	0.06740011215
423	0.06719149113
424	0.0669340086
425	0.0667196846
426	0.06646255016
427	0.06626064301
428	0.06601689339
429	0.06578641891
430	0.06559057236
431	0.06533495426
432	0.06511780739
433	0.06485793114
434	0.06457790375
435	0.0643216753
436	0.06410577774
437	0.06381174564
438	0.06362350941
439	0.06343166351
440	0.06317016602
441	0.0629589653
442	0.06275332451
443	0.06255432606
444	0.06233986378
445	0.06208192348
446	0.06188566208
447	0.0616980505
448	0.06146858215
449	0.0612209034
450	0.06101579666
451	0.06079857349
452	0.06064744949
453	0.06046456814
454	0.06025438309
455	0.06006387711
456	0.0598458004
457	0.05960054874
458	0.05938397884
459	0.05915987968
460	0.0590241909
461	0.05880935669
462	0.05862267494
463	0.05843725204
464	0.05824681282
465	0.05799510956
466	0.05779974937
467	0.0576385355
468	0.05745042324
469	0.05729081154
470	0.05712348938
471	0.05695449829
472	0.05676602364
473	0.05656599998
474	0.05639205933
475	0.05624314785
476	0.05610507011
477	0.05589528561
478	0.05568596363
479	0.05549757004
480	0.05536257744
481	0.05520856857
482	0.0550297308
483	0.05486132622
484	0.05464973927
485	0.0544993639
486	0.05434595108
487	0.05418632507
488	0.0540663147
489	0.05391254425
490	0.05376515865
491	0.05363745689
492	0.05346971035
493	0.05327102184
494	0.05312810421
495	0.05299151897
496	0.05281045914
497	0.05265264511
498	0.05251821041
499	0.05238388062
500	0.05215704918
501	0.05197735786
502	0.05181208611
503	0.051693964
504	0.0515311861
505	0.05139513493
506	0.05124681473
507	0.05111907959
508	0.05093366623
509	0.05079040527
510	0.05066606522
511	0.05052022934
512	0.05032476425
513	0.05017093182
514	0.04998310089
515	0.04983910561
516	0.04969666481
517	0.04954663277
518	0.04944115162
519	0.04927020073
520	0.04915810585
521	0.04904372215
522	0.04892718315
523	0.04882744312
524	0.0486506176
525	0.04853266716
526	0.0484079361
527	0.04827194214
528	0.04815526485
529	0.04792547226
530	0.0478085804
531	0.04770285606
532	0.04758304596
533	0.0474776268
534	0.0473089695
535	0.0471876049
536	0.04707415581
537	0.04689796448
538	0.04677960873
539	0.04666396141
