iter	Passed	Remaining
0	125	125666
1	187	93339
2	246	82009
3	306	76364
4	365	72799
5	426	70696
6	487	69087
7	550	68249
8	615	67765
9	686	67934
10	761	68423
11	832	68551
12	894	67912
13	953	67150
14	1013	66570
15	1074	66077
16	1134	65619
17	1194	65179
18	1255	64828
19	1314	64398
20	1373	64023
21	1433	63724
22	1493	63425
23	1553	63183
24	1614	62963
25	1674	62735
26	1734	62510
27	1794	62310
28	1853	62060
29	1916	61960
30	1977	61822
31	2037	61644
32	2097	61456
33	2157	61309
34	2218	61173
35	2280	61069
36	2339	60888
37	2398	60732
38	2458	60580
39	2518	60432
40	2578	60305
41	2638	60171
42	2697	60030
43	2757	59911
44	2817	59794
45	2877	59683
46	2937	59561
47	2998	59472
48	3058	59361
49	3117	59241
50	3176	59108
51	3237	59030
52	3298	58944
53	3359	58861
54	3419	58758
55	3478	58645
56	3537	58518
57	3596	58414
58	3654	58286
59	3713	58173
60	3773	58086
61	3833	57990
62	3891	57878
63	3949	57768
64	4010	57689
65	4069	57588
66	4127	57477
67	4188	57406
68	4247	57314
69	4307	57224
70	4366	57129
71	4426	57056
72	4485	56959
73	4544	56873
74	4605	56803
75	4666	56728
76	4726	56654
77	4787	56588
78	4847	56509
79	4906	56424
80	4965	56339
81	5025	56261
82	5084	56170
83	5144	56096
84	5205	56037
85	5231	55601
86	5290	55520
87	5348	55431
88	5428	55562
89	5504	55654
90	5565	55590
91	5624	55513
92	5684	55436
93	5745	55373
94	5805	55300
95	5863	55216
96	5923	55141
97	5982	55066
98	6042	54990
99	6100	54908
100	6159	54823
101	6220	54760
102	6279	54687
103	6339	54614
104	6400	54553
105	6460	54484
106	6521	54422
107	6581	54358
108	6640	54284
109	6700	54210
110	6759	54139
111	6819	54069
112	6877	53986
113	6937	53914
114	6995	53835
115	7055	53767
116	7115	53697
117	7174	53628
118	7233	53555
119	7292	53477
120	7351	53407
121	7411	53335
122	7469	53255
123	7529	53189
124	7588	53118
125	7649	53060
126	7709	52993
127	7769	52932
128	7830	52871
129	7891	52810
130	7929	52604
131	7989	52538
132	8049	52470
133	8123	52502
134	8203	52565
135	8277	52585
136	8352	52616
137	8430	52660
138	8507	52696
139	8583	52725
140	8659	52756
141	8734	52774
142	8807	52785
143	8879	52781
144	8951	52783
145	9024	52787
146	9095	52780
147	9166	52768
148	9238	52767
149	9313	52774
150	9385	52769
151	9453	52742
152	9517	52687
153	9581	52638
154	9644	52575
155	9702	52495
156	9764	52428
157	9825	52363
158	9884	52283
159	9945	52212
160	10005	52138
161	10075	52117
162	10147	52108
163	10214	52070
164	10275	52001
165	10335	51926
166	10394	51849
167	10455	51777
168	10514	51701
169	10575	51632
170	10634	51557
171	10705	51533
172	10768	51478
173	10837	51448
174	10897	51374
175	10961	51318
176	11030	51288
177	11092	51225
178	11154	51160
179	11226	51143
180	11290	51087
181	11352	51023
182	11412	50950
183	11472	50879
184	11534	50812
185	11593	50736
186	11659	50688
187	11720	50622
188	11780	50551
189	11838	50469
190	11898	50396
191	11957	50320
192	12019	50258
193	12079	50186
194	12139	50114
195	12199	50042
196	12258	49966
197	12319	49899
198	12379	49829
