iter	Logloss
0	0.691371676
1	0.6893848652
2	0.6873562037
3	0.6856581664
4	0.6840289003
5	0.6819948685
6	0.6795294976
7	0.6779270698
8	0.6760188877
9	0.6736667628
10	0.6719680766
11	0.6697497892
12	0.6677119066
13	0.6658982342
14	0.6641822522
15	0.6622942825
16	0.6600893559
17	0.6574794658
18	0.6551480679
19	0.6530012095
20	0.6511644333
21	0.6494304484
22	0.6474294442
23	0.6458177595
24	0.6439657165
25	0.6417565598
26	0.639873333
27	0.6374865441
28	0.6356214007
29	0.6334715064
30	0.6319667353
31	0.6303696206
32	0.6288496199
33	0.6269114737
34	0.6243786195
35	0.6227609942
36	0.6212726205
37	0.6198806763
38	0.6179969347
39	0.6158739811
40	0.6142838936
41	0.6125811328
42	0.6107761983
43	0.6092801562
44	0.6077675722
45	0.6060209629
46	0.6043455143
47	0.602900801
48	0.6013531001
49	0.5991115591
50	0.5977873807
51	0.5959949473
52	0.5930297529
53	0.591607397
54	0.5901292424
55	0.5886773328
56	0.586469233
57	0.5848191894
58	0.5830995564
59	0.5814431505
60	0.5799526459
61	0.5785065519
62	0.576638751
63	0.5752403479
64	0.5739006688
65	0.5721937963
66	0.5707563367
67	0.5689041964
68	0.5668462587
69	0.5650871571
70	0.5629181718
71	0.5613628297
72	0.5598595533
73	0.5577737155
74	0.5564489652
75	0.5551946215
76	0.5533248145
77	0.5520278668
78	0.5506575395
79	0.5489860403
80	0.5474048699
81	0.5457488442
82	0.5442662239
83	0.5420175318
84	0.5405754262
85	0.5389493509
86	0.537604112
87	0.5361883157
88	0.5343448509
89	0.5320051446
90	0.530407067
91	0.5286753774
92	0.5276514949
93	0.5261183926
94	0.5246168139
95	0.523039899
96	0.5214575601
97	0.5199866459
98	0.5186348403
99	0.5175812101
100	0.5163078236
101	0.5149845676
102	0.5138072639
103	0.5124939752
104	0.5110432064
105	0.5096128645
106	0.5081432585
107	0.506629617
108	0.5052956209
109	0.5036717756
110	0.5022060676
111	0.5009508791
112	0.4991721675
113	0.4981998698
114	0.4970586197
115	0.4957208818
116	0.4941573554
117	0.4928733028
118	0.4916719815
119	0.4905857115
120	0.4895908483
121	0.4883051515
122	0.4871151982
123	0.4858994484
124	0.4844515056
125	0.4834182776
126	0.4817606704
127	0.4806812241
128	0.4793028194
129	0.4780198007
130	0.4768427117
131	0.4755358943
132	0.4743450551
133	0.4729578228
134	0.4715177746
135	0.4704749564
136	0.4690329165
137	0.4678726731
138	0.466430364
139	0.4651212096
140	0.4636398287
141	0.4626254439
142	0.4614411223
143	0.4606743023
144	0.4594876396
145	0.4583460894
146	0.4573761286
147	0.4561074129
148	0.4550285319
149	0.4539577899
150	0.45284047
151	0.4512884062
152	0.4503865776
153	0.4494133139
154	0.4483567189
155	0.4475567094
156	0.4462406368
157	0.4450451506
158	0.4440770684
159	0.4429007851
160	0.4419031636
161	0.4409638129
162	0.439896341
163	0.4388309635
164	0.4375645703
165	0.4364757291
166	0.435224864
167	0.4340319839
168	0.4327244676
169	0.4317135626
170	0.4306293377
171	0.4294768202
172	0.4284968993
173	0.4272783995
174	0.426110391
175	0.4252533543
176	0.423986289
177	0.4229406221
178	0.4219024572
179	0.4208418686
180	0.4192561322
181	0.4182703474
182	0.4172860281
183	0.4162244776
184	0.4149412574
185	0.413898468
186	0.4131784912
187	0.4119520845
188	0.4111027841
189	0.4101236257
190	0.4089933675
191	0.4081783397
192	0.4065659416
193	0.4055566438
194	0.4046094829
195	0.4033574811
196	0.4023299526
197	0.401494131
198	0.4003979461
199	0.3994425946
200	0.3982027214
201	0.3974456561
202	0.3965213936
203	0.395449737
204	0.3939801043
205	0.3930895555
206	0.3922191057
207	0.3909593101
208	0.3898907468
209	0.3887259775
210	0.3875215382
211	0.3865408404
212	0.3853966614
213	0.384229697
214	0.3830639905
215	0.3823330094
216	0.3814465301
217	0.380400635
218	0.3796304218
219	0.378446655
220	0.3774107407
221	0.3764770319
222	0.3757292546
223	0.3747696157
224	0.3738268388
225	0.3730195144
226	0.3720477778
227	0.370914081
228	0.3701230144
229	0.3691723264
230	0.3681739404
231	0.3671654586
232	0.3663638995
233	0.3656213736
234	0.3648012445
235	0.3638843873
236	0.3631310422
237	0.3622684643
238	0.3612872547
239	0.360418887
240	0.359680073
241	0.3588034983
242	0.3580051866
243	0.3571301658
244	0.3564112145
245	0.3555420493
246	0.3544369422
247	0.3537513573
248	0.3530402184
249	0.3522361435
250	0.3512878089
251	0.3503470709
252	0.3494369696
253	0.3486757772
254	0.3478948166
255	0.3471222869
256	0.3462851006
257	0.3454840964
258	0.3446795283
259	0.3439320901
260	0.3433082227
261	0.3426279282
262	0.3417561506
263	0.3408202796
264	0.3401394466
265	0.3394004764
266	0.3385052393
267	0.337807791
268	0.3368577423
269	0.3360950782
270	0.3351480015
271	0.3345964572
272	0.3338739091
273	0.3329713262
274	0.3321382342
275	0.3312967851
276	0.3306475097
277	0.3298064594
278	0.329108082
279	0.3284142058
280	0.3276318353
281	0.3269782436
282	0.3263831879
283	0.3255937346
284	0.324793717
285	0.3241063356
286	0.3231888311
287	0.3224971294
288	0.3216513971
289	0.3208822999
290	0.3201800009
291	0.3193985923
292	0.31873324
293	0.3179675505
294	0.3171679234
295	0.3165485982
296	0.315791389
297	0.3150447771
298	0.3143324564
299	0.3137174968
300	0.3130914672
301	0.3123938051
302	0.3117069047
303	0.3110806778
304	0.3104529422
305	0.3096053271
306	0.3089275155
307	0.3082586116
308	0.3077018179
309	0.3069865416
310	0.3063754213
311	0.305659438
312	0.3049253677
313	0.3040953381
314	0.3032322464
315	0.3026488608
316	0.3019628443
317	0.3012995843
318	0.3007604706
319	0.2999321222
320	0.2989602294
321	0.2983172433
322	0.2975686747
323	0.2969368162
324	0.2962808321
325	0.295212425
326	0.2946435706
327	0.2940179849
328	0.2935172689
329	0.2928456274
330	0.2922729953
331	0.2915667419
332	0.2910288613
333	0.2904171985
334	0.2897418614
335	0.289035123
336	0.2883996511
337	0.2877714839
338	0.2870087336
339	0.2862641606
340	0.2856087972
341	0.2848614372
342	0.284111619
343	0.2834469532
344	0.2829010898
345	0.2821065023
346	0.2814355472
347	0.2808768996
348	0.2803956229
349	0.2798340279
350	0.2792744924
351	0.2787410185
352	0.2781678192
353	0.27757858
354	0.2769433137
355	0.2764067115
356	0.2758710713
357	0.2752857249
358	0.2746365769
359	0.2740333204
360	0.2733523681
361	0.2727547391
362	0.2722468746
363	0.2715388742
364	0.2708882833
365	0.2700945221
366	0.2694060309
367	0.2687983924
368	0.2679902603
369	0.2673955498
370	0.2667110624
371	0.2661754715
372	0.2655682605
373	0.265126623
374	0.2646092094
375	0.2640725251
376	0.2634583629
377	0.2628233803
378	0.2620611067
379	0.2615698905
380	0.26112651
381	0.2605647753
382	0.2600240625
383	0.2595647039
384	0.2590568847
385	0.2583629016
386	0.2574928053
387	0.2569803657
388	0.2564371906
389	0.255813352
390	0.2551440782
391	0.2547040561
392	0.2541592697
393	0.253601029
394	0.2530357509
395	0.2524440741
396	0.2519911158
397	0.2515266599
398	0.2510370181
399	0.2506103516
400	0.2500387019
401	0.2496154719
402	0.2490844028
403	0.248449675
404	0.2478354758
405	0.2473779629
406	0.2470036457
407	0.2466351904
408	0.2460955299
409	0.2456743347
410	0.2451023316
411	0.2446070745
412	0.2441240385
413	0.2435493264
414	0.242691373
415	0.2420624042
416	0.2415608414
417	0.2410996248
418	0.2405279875
419	0.2401413671
420	0.2397392002
421	0.2393575578
422	0.2389494427
423	0.2384408712
424	0.2379483519
425	0.2374713791
426	0.2369326106
427	0.236424738
428	0.2359524061
429	0.2353812785
430	0.2347869462
431	0.2342918371
432	0.2338345462
433	0.2335003286
434	0.2331357948
435	0.2326605608
436	0.2320325621
437	0.2313599956
438	0.2308801125
439	0.2304474198
440	0.229997972
441	0.2295390162
442	0.2290884996
443	0.2285510877
444	0.2280633121
445	0.2275384295
446	0.2271011369
447	0.2267072776
448	0.2262949738
449	0.2258935221
450	0.2255044271
451	0.2251122121
452	0.224673004
453	0.2241722345
454	0.2238621917
455	0.2234330753
456	0.2230162785
457	0.2225745875
458	0.2222161129
459	0.2216868072
460	0.2213219158
461	0.220948207
462	0.2203861228
463	0.2200571093
464	0.2196131205
465	0.2191865115
466	0.2188437026
467	0.2183703636
468	0.218011519
469	0.2173665392
470	0.2169711672
471	0.2165963362
472	0.216206567
473	0.2158214512
474	0.215462475
475	0.2149546064
476	0.2145990298
477	0.214155785
478	0.2138342857
479	0.2134263022
480	0.2130543857
481	0.2124001569
482	0.2119833478
483	0.2116151678
484	0.2112083641
485	0.2107559525
486	0.2104383625
487	0.2100506815
488	0.2095810668
489	0.209227714
490	0.2088625308
491	0.2085170869
492	0.2081372368
493	0.2078098758
494	0.2075010661
495	0.2070536285
496	0.2066691456
497	0.2062959507
498	0.2058917654
499	0.2054911071
500	0.2051611522
501	0.2047605227
502	0.2043882485
503	0.2040085135
504	0.2037107492
505	0.2032780729
506	0.2029967925
507	0.202499624
508	0.2021953114
509	0.2017694342
510	0.201308419
511	0.2010114768
512	0.2006811274
513	0.2003640964
514	0.2000340264
515	0.1996991347
516	0.1993894248
517	0.1991483096
518	0.1988232958
519	0.1984678795
520	0.1981246101
521	0.1978276762
522	0.1975327812
523	0.1972326698
524	0.1968405411
525	0.1964462831
526	0.1961499535
527	0.1958362974
528	0.1954586547
529	0.1950693007
530	0.1946611487
531	0.1943705863
532	0.193950131
533	0.1936271314
534	0.1933322117
535	0.1930111277
536	0.19266517
537	0.192325888
538	0.1920296529
539	0.1917698219
540	0.1914198522
541	0.1910977487
542	0.1908126247
543	0.1904843676
544	0.1901697208
545	0.189800764
546	0.1894909226
547	0.1890584765
548	0.1886253357
549	0.1881266668
550	0.1877550051
551	0.1874058123
552	0.1868926451
553	0.1865582343
554	0.1861557714
555	0.1857597581
556	0.1852957257
557	0.1850197562
558	0.1847573231
559	0.1844804698
560	0.184176408
561	0.1838469875
562	0.1834723991
563	0.1832011239
564	0.1828352501
565	0.1825237233
566	0.1822038149
567	0.1819087144
568	0.1814574291
569	0.1811687494
570	0.1808675815
571	0.1805967093
572	0.1803219812
573	0.1800500648
574	0.1797535748
575	0.1795018706
576	0.1792511159
577	0.1789319392
578	0.1786400409
579	0.1783817554
580	0.1781484464
581	0.1779023162
582	0.1775370795
583	0.1772280808
584	0.176924241
585	0.1766767666
586	0.1763052406
587	0.1760031643
588	0.1757115907
589	0.1754542425
590	0.1752042894
591	0.1748582084
592	0.1745722993
593	0.174258898
594	0.1739025404
595	0.173618366
596	0.1731782165
597	0.1729427905
598	0.1726533997
599	0.1723272102
600	0.1719016412
601	0.1716536489
602	0.1713568918
603	0.1711070743
604	0.1707726923
605	0.170484214
606	0.1702391074
607	0.1699673225
608	0.1697293068
609	0.1693979378
610	0.1691742478
611	0.1688118926
612	0.168437855
613	0.1682223369
614	0.1678902897
615	0.1675987244
616	0.1673729379
617	0.1670693693
618	0.166873529
619	0.1665796781
620	0.1662752012
621	0.1660265142
622	0.1657587125
623	0.1655221972
624	0.1652743118
625	0.1650146698
626	0.1647646345
627	0.1644584228
628	0.1641892894
629	0.1638472779
630	0.1636024796
631	0.163429141
632	0.1631311836
633	0.1629069591
634	0.1626932046
635	0.162393796
636	0.1621189734
637	0.1618571734
638	0.1615256564
639	0.1612713337
640	0.1610662444
641	0.1608399112
642	0.1606366881
643	0.1603618655
644	0.1601390592
645	0.159852998
646	0.1596306028
647	0.1594389389
648	0.1592058642
649	0.158990786
650	0.1587104633
651	0.1584046709
652	0.1582364625
653	0.1580317431
654	0.1578231269
655	0.1575612693
656	0.1572837336
657	0.1569368428
658	0.1567452118
659	0.1565059711
660	0.1562308196
661	0.1560293559
662	0.1557775777
663	0.1555870155
664	0.1552889676
665	0.1550520617
666	0.1547888394
667	0.1545604097
668	0.1543351206
669	0.1540859157
670	0.1538507445
671	0.1535195564
672	0.153293996
673	0.1530615297
674	0.152757916
675	0.152478251
676	0.1522746826
677	0.1520201913
678	0.1518136715
679	0.1515639486
680	0.1513937999
681	0.1511736492
682	0.1508916986
683	0.1506997388
684	0.1504789879
685	0.1502690973
686	0.1500901929
687	0.1498933003
688	0.1495740414
689	0.1493024004
690	0.149127171
691	0.1489355811
692	0.1486709776
693	0.1484301666
694	0.1482368913
695	0.1480459674
696	0.1478290887
697	0.1475774255
698	0.1473098048
699	0.1470965681
700	0.1468935588
701	0.1466445265
702	0.1464559045
703	0.1461690459
704	0.1459598377
705	0.1457521422
706	0.1455956739
707	0.1454018231
708	0.1452389339
709	0.1450200574
710	0.1448223509
711	0.1445590217
712	0.1442932343
713	0.1440903647
714	0.1439041845
715	0.1436978044
716	0.1434678127
717	0.1432816325
718	0.1429839792
719	0.1427657686
720	0.1425591008
721	0.1423653981
722	0.1421766446
723	0.1419312132
724	0.1416794021
725	0.1415063102
726	0.1413106261
727	0.1411642042
728	0.1409025603
