iter	Passed	Remaining
0	88	88719
1	132	66220
2	177	59089
3	222	55363
4	265	52911
5	303	50308
6	345	48960
7	379	47044
8	424	46721
9	467	46301
10	512	46064
11	559	46054
12	604	45894
13	648	45702
14	692	45503
15	736	45292
16	770	44567
17	803	43858
18	837	43260
19	880	43161
20	923	43074
21	967	42997
22	1011	42984
23	1054	42883
24	1120	43717
25	1173	43959
26	1218	43894
27	1250	43405
28	1281	42921
29	1313	42463
30	1345	42063
31	1377	41670
32	1408	41271
33	1438	40867
34	1455	40136
35	1477	39576
36	1510	39315
37	1541	39018
38	1573	38761
39	1603	38488
40	1634	38236
41	1665	37993
42	1696	37751
43	1727	37533
44	1759	37334
45	1789	37118
46	1820	36916
47	1851	36712
48	1881	36517
49	1904	36188
50	1934	36005
51	1966	35842
52	1983	35444
53	2013	35274
54	2043	35118
55	2067	34845
56	2098	34712
57	2128	34577
58	2159	34446
59	2189	34309
60	2220	34182
61	2255	34129
62	2289	34047
63	2320	33942
64	2352	33845
65	2384	33740
66	2415	33643
67	2439	33430
68	2470	33327
69	2502	33242
70	2533	33150
71	2565	33066
72	2596	32977
73	2619	32784
74	2651	32697
75	2683	32619
76	2714	32532
77	2745	32455
78	2777	32378
79	2808	32301
80	2832	32132
81	2863	32059
82	2895	31987
83	2913	31768
84	2944	31697
85	2976	31629
86	3006	31554
87	3038	31488
88	3061	31337
89	3075	31092
90	3106	31035
91	3138	30972
92	3169	30910
93	3200	30849
94	3232	30795
95	3263	30731
96	3294	30671
97	3326	30617
98	3357	30558
99	3389	30501
100	3420	30446
101	3451	30383
102	3483	30340
103	3514	30277
104	3544	30213
105	3575	30158
106	3606	30099
107	3636	30037
108	3667	29978
109	3698	29922
110	3730	29873
111	3760	29816
112	3791	29760
113	3821	29702
114	3852	29643
115	3882	29587
116	3913	29532
117	3944	29481
118	3975	29431
119	4006	29378
120	4037	29329
121	4067	29275
122	4098	29222
123	4128	29169
124	4159	29115
125	4189	29059
126	4220	29008
127	4250	28958
128	4282	28915
129	4314	28870
130	4349	28853
131	4380	28803
132	4410	28754
133	4440	28700
134	4472	28654
135	4503	28611
136	4537	28580
137	4571	28556
138	4603	28514
139	4635	28477
140	4673	28473
141	4710	28461
142	4744	28431
143	4780	28419
144	4812	28379
145	4844	28339
146	4876	28297
147	4907	28253
148	4939	28213
149	4971	28170
150	5002	28128
151	5034	28089
152	5066	28047
153	5098	28005
154	5129	27963
155	5160	27921
156	5192	27882
157	5225	27846
158	5261	27830
159	5305	27856
160	5349	27877
161	5392	27893
162	5431	27889
163	5463	27848
164	5494	27804
165	5526	27764
166	5557	27720
167	5589	27679
168	5620	27638
169	5652	27597
170	5684	27557
171	5716	27516
172	5747	27473
173	5779	27433
174	5810	27392
175	5841	27350
176	5873	27311
177	5906	27274
178	5938	27235
179	5972	27208
180	6004	27167
181	6035	27125
182	6068	27091
183	6105	27076
184	6137	27036
185	6168	26997
186	6201	26960
187	6233	26923
188	6265	26887
189	6299	26857
190	6336	26837
191	6381	26857
192	6400	26761
193	6436	26739
194	6473	26724
195	6519	26742
196	6565	26759
197	6609	26773
198	6655	26788
199	6701	26804
200	6747	26822
201	6792	26832
202	6836	26842
203	6870	26807
204	6913	26812
205	6961	26830
206	7007	26845
207	7052	26852
208	7099	26868
209	7143	26874
210	7188	26881
211	7235	26894
212	7284	26913
213	7331	26926
214	7375	26928
215	7419	26930
216	7463	26930
217	7507	26930
218	7553	26936
219	7586	26898
220	7633	26907
221	7667	26871
222	7712	26872
223	7755	26867
224	7799	26865
225	7844	26865
226	7891	26873
227	7937	26876
228	7974	26849
229	8005	26801
230	8036	26753
231	8068	26710
232	8100	26665
233	8132	26621
234	8163	26575
235	8195	26531
236	8228	26492
237	8263	26457
238	8295	26415
239	8327	26369
240	8359	26325
241	8391	26283
242	8422	26238
243	8454	26194
244	8486	26153
245	8519	26113
246	8538	26028
247	8569	25984
248	8601	25943
249	8633	25900
250	8666	25862
251	8698	25820
252	8736	25795
253	8782	25793
254	8827	25789
255	8872	25784
256	8915	25775
257	8959	25766
258	9004	25762
259	9049	25757
260	9095	25754
261	9140	25745
262	9184	25736
263	9229	25729
264	9273	25721
265	9317	25709
266	9360	25697
267	9405	25690
268	9450	25681
269	9494	25671
270	9540	25665
271	9586	25657
272	9630	25645
273	9675	25635
274	9719	25624
275	9756	25593
276	9788	25547
277	9820	25504
278	9857	25474
279	9889	25429
280	9921	25385
281	9954	25344
282	9987	25304
283	10023	25270
284	10061	25242
285	10113	25249
286	10158	25237
287	10207	25235
288	10251	25221
289	10298	25212
290	10346	25208
291	10392	25198
292	10435	25180
293	10468	25138
294	10503	25100
295	10548	25088
296	10592	25072
297	10638	25060
298	10684	25049
299	10729	25034
300	10774	25020
301	10817	25002
302	10861	24984
303	10905	24967
304	10948	24948
305	10994	24934
306	11040	24921
307	11086	24909
308	11130	24890
309	11174	24872
310	11218	24854
311	11262	24835
312	11307	24817
313	11352	24801
314	11386	24760
315	11428	24738
316	11477	24729
317	11515	24697
318	11546	24650
319	11577	24603
320	11609	24556
321	11640	24509
322	11671	24463
323	11703	24418
324	11734	24372
325	11761	24317
326	11797	24279
327	11841	24260
328	11881	24231
329	11912	24185
330	11944	24141
331	11976	24096
332	12009	24055
333	12041	24011
334	12075	23969
335	12107	23927
336	12140	23884
337	12173	23842
338	12205	23797
339	12237	23754
340	12269	23710
341	12301	23667
342	12333	23623
343	12365	23581
344	12397	23537
345	12421	23478
346	12452	23434
347	12484	23391
348	12517	23349
349	12550	23308
350	12583	23266
351	12614	23221
352	12646	23178
353	12669	23119
354	12701	23077
355	12733	23033
356	12764	22991
357	12795	22946
358	12812	22877
359	12844	22835
360	12876	22793
361	12908	22749
362	12939	22705
363	12962	22647
364	12992	22603
365	13023	22559
366	13053	22515
367	13085	22472
368	13107	22414
369	13139	22372
370	13170	22330
371	13202	22288
372	13233	22245
373	13265	22203
374	13297	22162
375	13329	22120
376	13360	22078
377	13391	22036
378	13414	21980
379	13447	21939
380	13488	21913
381	13531	21892
382	13575	21869
383	13606	21827
384	13642	21792
385	13676	21755
386	13704	21707
387	13748	21685
388	13792	21664
389	13836	21641
390	13881	21621
391	13927	21601
392	13971	21579
393	14016	21558
394	14061	21537
395	14106	21515
396	14149	21491
397	14184	21454
398	14230	21435
399	14276	21414
400	14322	21393
401	14366	21370
402	14411	21349
403	14457	21328
404	14503	21307
405	14550	21287
406	14596	21266
407	14633	21233
408	14665	21191
409	14696	21149
410	14732	21113
411	14776	21089
412	14822	21067
413	14867	21044
414	14895	20996
415	14938	20971
416	14983	20948
417	15027	20922
418	15071	20899
419	15115	20874
420	15160	20850
421	15204	20824
422	15247	20799
423	15292	20774
424	15335	20748
425	15378	20721
426	15412	20682
427	15456	20656
428	15501	20632
429	15547	20609
430	15591	20583
431	15626	20546
432	15659	20505
433	15697	20471
434	15735	20438
435	15797	20434
436	15843	20411
437	15878	20374
438	15923	20349
439	15970	20325
440	16015	20300
441	16051	20263
442	16087	20226
443	16120	20186
444	16153	20145
445	16190	20110
446	16236	20086
447	16280	20060
448	16326	20035
449	16371	20009
450	16416	19983
451	16460	19956
452	16505	19929
453	16549	19903
454	16595	19877
455	16639	19851
456	16684	19823
457	16728	19796
458	16772	19768
459	16815	19740
460	16861	19714
461	16904	19685
462	16949	19658
463	16994	19631
464	17037	19602
465	17070	19561
466	17101	19518
467	17133	19476
468	17165	19434
469	17188	19382
470	17220	19341
471	17255	19302
472	17291	19265
473	17336	19238
474	17373	19202
475	17405	19160
476	17437	19118
477	17469	19077
478	17502	19037
479	17534	18995
480	17567	18955
481	17597	18911
482	17639	18880
483	17673	18841
484	17705	18800
485	17737	18758
486	17770	18719
487	17806	18682
488	17837	18640
489	17869	18598
490	17900	18556
491	17932	18515
492	17963	18473
493	17995	18432
494	18028	18392
495	18060	18351
496	18091	18310
497	18123	18268
498	18155	18228
499	18186	18186
500	18219	18146
501	18251	18106
502	18290	18072
503	18323	18032
504	18355	17992
505	18387	17950
506	18418	17909
507	18450	17869
508	18485	17831
509	18521	17795
510	18562	17763
511	18595	17723
512	18627	17683
513	18659	17643
514	18695	17606
515	18729	17568
516	18763	17529
517	18797	17491
518	18837	17458
519	18871	17420
520	18907	17382
521	18952	17354
522	18993	17322
523	19033	17289
524	19073	17257
525	19107	17218
526	19139	17178
527	19171	17138
528	19204	17099
529	19236	17058
530	19268	17018
531	19301	16979
532	19334	16939
533	19365	16899
534	19407	16868
535	19448	16836
536	19484	16799
537	19524	16766
538	19563	16732
539	19604	16699
540	19628	16652
541	19665	16618
542	19700	16580
543	19740	16546
544	19773	16508
545	19804	16467
546	19839	16430
547	19863	16383
548	19896	16344
549	19914	16293
550	19946	16253
551	19979	16215
552	19997	16164
553	20029	16125
554	20064	16087
555	20097	16049
556	20131	16011
557	20162	15971
558	20194	15931
559	20226	15892
560	20261	15855
561	20297	15819
562	20333	15783
563	20369	15746
564	20403	15709
565	20439	15672
566	20473	15635
567	20508	15597
568	20542	15560
569	20573	15520
570	20605	15481
571	20637	15442
572	20670	15403
573	20708	15368
574	20740	15329
575	20773	15291
576	20807	15253
577	20846	15220
578	20880	15182
579	20914	15145
580	20946	15106
581	20978	15067
582	21010	15027
583	21041	14988
584	21072	14948
585	21104	14910
586	21141	14874
587	21173	14835
588	21205	14796
589	21236	14757
590	21268	14719
591	21302	14681
592	21340	14647
593	21373	14608
594	21403	14569
595	21435	14530
596	21459	14486
597	21497	14451
598	21535	14416
599	21567	14378
600	21598	14339
601	21630	14300
602	21663	14262
603	21696	14224
604	21720	14180
605	21754	14143
606	21791	14108
607	21834	14077
608	21878	14046
609	21913	14010
610	21945	13971
611	21976	13932
612	22000	13889
613	22036	13853
614	22081	13823
615	22126	13792
616	22172	13763
617	22220	13735
618	22267	13706
619	22312	13675
620	22356	13644
621	22400	13613
622	22449	13584
623	22495	13555
624	22541	13524
625	22584	13492
626	22630	13462
627	22675	13431
628	22723	13402
629	22768	13372
630	22813	13341
631	22859	13310
632	22913	13284
633	22967	13258
634	23017	13230
635	23062	13199
636	23112	13170
637	23157	13139
638	23201	13107
639	23245	13075
640	23290	13044
641	23336	13013
642	23380	12981
643	23424	12948
644	23468	12916
645	23513	12885
646	23558	12853
647	23604	12822
648	23648	12789
649	23695	12759
650	23742	12728
651	23784	12695
652	23829	12662
653	23874	12630
654	23918	12598
655	23962	12565
656	24005	12532
657	24049	12499
658	24092	12466
659	24135	12433
660	24180	12401
661	24225	12368
662	24276	12339
663	24321	12307
664	24365	12274
665	24409	12241
666	24456	12209
667	24499	12176
668	24543	12143
669	24582	12107
670	24614	12068
671	24646	12029
672	24677	11990
673	24709	11951
